"﻿ID","Name","Tax status"
"1366","Pejzaž (Aljaska, Kanada, medved) - duks crni","taxable"
"1373","Sunce 1 - majica bela","taxable"
"1374","Sunce 1 - ženska majica bela","taxable"
"1375","Sunce 1 - duks beli","taxable"
"1376","Sunce 1 - majica crna","taxable"
"1377","Sunce 1 - ženska majica crna","taxable"
"1378","Sunce 1 - duks crni","taxable"
"1385","Sunce 2 - majica bela","taxable"
"1386","Sunce 2 - ženska majica bela","taxable"
"1388","Sunce 2 - duks beli","taxable"
"1389","Sunce 2 - majica crna","taxable"
"1390","Sunce 2 - ženska majica crna","taxable"
"1391","Sunce 2 - duks crni","taxable"
"1398","Zalazak sunca (pejzaži) - majica bela","taxable"
"1399","Zalazak sunca (pejzaži) - ženska majica bela","taxable"
"1400","Zalazak sunca (pejzaži) - duks beli","taxable"
"1401","Zalazak sunca (pejzaži) - majica crna","taxable"
"1402","Zalazak sunca (pejzaži) - ženska majica crna","taxable"
"1403","Zalazak sunca (pejzaži) - duks crni","taxable"
"1410","Jing Jang Vukovi - majica bela","taxable"
"1412","Jing Jang Vukovi - ženska majica bela","taxable"
"1413","Jing Jang Vukovi - duks beli","taxable"
"1414","Jing Jang Vukovi - majica crna","taxable"
"1415","Jing Jang Vukovi - ženska majica crna","taxable"
"1416","Jing Jang Vukovi - duks crni","taxable"
"1423","Koka - majica bela","taxable"
"1425","Koka - ženska majica bela","taxable"
"1426","Koka - duks beli","taxable"
"1427","Koka - majica crna","taxable"
"1428","Koka - ženska majica crna","taxable"
"1429","Koka - duks crni","taxable"
"1434","Konj sa šarama (samo na beloj) - majica bela","taxable"
"1435","Konj sa šarama (samo na beloj) - ženska majica bela","taxable"
"1436","Konj sa šarama (samo na beloj) - duks beli","taxable"
"1443","Pas (vučijak) - majica bela","taxable"
"1444","Pas (vučijak) - ženska majica bela","taxable"
"1445","Pas (vučijak) - duks beli","taxable"
"1446","Pas (vučijak) - majica crna","taxable"
"1447","Pas (vučijak) - ženska majica crna","taxable"
"1448","Pas (vučijak) - duks crni","taxable"
"1455","Pas 2 - majica bela","taxable"
"1456","Pas 2 - ženska majica bela","taxable"
"1457","Pas 2 - duks beli","taxable"
"1458","Pas 2 - majica crna","taxable"
"1459","Pas 2 - ženska majica crna","taxable"
"1460","Pas 2 - duks crni","taxable"
"1467","Pas (pudla) - majica bela","taxable"
"1468","Pas (pudla) - ženska majica bela","taxable"
"1469","Pas (pudla) - duks beli","taxable"
"1470","Pas (pudla) - majica crna","taxable"
"1471","Pas (pudla) - ženska majica crna","taxable"
"1472","Pas (pudla) - duks crni","taxable"
"1479","Pas (rotvajler) - majica bela","taxable"
"1480","Pas (rotvajler) - ženska majica bela","taxable"
"1481","Pas (rotvajler) - duks beli","taxable"
"1482","Pas (rotvajler) - majica crna","taxable"
"1483","Pas (rotvajler) - ženska majica crna","taxable"
"1484","Pas (rotvajler) - duks crni","taxable"
"1491","Ribe - majica bela","taxable"
"1492","Ribe - ženska majica bela","taxable"
"1493","Ribe - duks beli","taxable"
"1494","Ribe - majica crna","taxable"
"1495","Ribe - ženska majica crna","taxable"
"1496","Ribe - duks crni","taxable"
"1509","Šaran - majica bela","taxable"
"1510","Šaran - ženska majica bela","taxable"
"1511","Šaran - duks beli","taxable"
"1512","Šaran - majica crna","taxable"
"1513","Šaran - ženska majica crna","taxable"
"1514","Šaran - duks crni","taxable"
"1521","Som - majica bela","taxable"
"1522","Som - ženska majica bela","taxable"
"1523","Som - duks beli","taxable"
"1524","Som - majica crna","taxable"
"1525","Som - ženska majica crna","taxable"
"1526","Som - duks crni","taxable"
"1533","Štuka - majica bela","taxable"
"1534","Štuka - ženska majica bela","taxable"
"1535","Štuka - majica crna","taxable"
"1536","Štuka - duks beli","taxable"
"1537","Štuka - ženska majica crna","taxable"
"1538","Štuka - duks crni","taxable"
"1545","Štuka 2 - majica bela","taxable"
"1546","Štuka 2 - ženska majica bela","taxable"
"1547","Štuka 2 - duks beli","taxable"
"1548","Štuka 2 - majica crna","taxable"
"1549","Štuka 2 - ženska majica crna","taxable"
"1550","Štuka 2 - duks crni","taxable"
"1557","Vuk - majica bela","taxable"
"1558","Vuk - ženska majica bela","taxable"
"1559","Vuk - duks beli","taxable"
"1560","Vuk - majica crna","taxable"
"1561","Vuk - ženska majica crna","taxable"
"1562","Vuk - duks crni","taxable"
"1569","Žirafa (mala sa rancem i kačketom)  - majica bela","taxable"
"1570","Žirafa (mala sa rancem i kačketom)  - ženska majica bela","taxable"
"1571","Žirafa (mala sa rancem i kačketom)  - duks beli","taxable"
"1572","Žirafa (mala sa rancem i kačketom)  - majica crna","taxable"
"1573","Žirafa (mala sa rancem i kačketom)  - ženska majica crna","taxable"
"1574","Žirafa (mala sa rancem i kačketom)  - duks crni","taxable"
"1581","Žirafa (majka i dete) - majica bela","taxable"
"1582","Žirafa (majka i dete) - ženska majica bela","taxable"
"1583","Žirafa (majka i dete) - duks beli","taxable"
"1584","Žirafa (majka i dete) - majica crna","taxable"
"1585","Žirafa (majka i dete) - ženska majica crna","taxable"
"1586","Žirafa (majka i dete) - duks crni","taxable"
"1594","Žirafe (šareno) - majica bela","taxable"
"1595","Žirafe (šareno) - ženska majica bela","taxable"
"1596","Žirafe (šareno) - duks beli","taxable"
"1597","Žirafe (šareno) - majica crna","taxable"
"1598","Žirafe (šareno) - ženska majica crna","taxable"
"1599","Žirafe (šareno) - duks crni","taxable"
"1606","Buba (sa palmama) - majica bela","taxable"
"1607","Buba (sa palmama) - ženska majica bela","taxable"
"1608","Buba (sa palmama) - duks beli","taxable"
"1609","Buba (sa palmama) - majica crna","taxable"
"1610","Buba (sa palmama) - ženska majica crna","taxable"
"1611","Buba (sa palmama) - duks crni","taxable"
"1618","Crvena Vespa - majica bela","taxable"
"1619","Crvena Vespa - ženska majica bela","taxable"
"1620","Crvena Vespa - duks beli","taxable"
"1621","Crvena Vespa - majica crna","taxable"
"1622","Crvena Vespa - ženska majica crna","taxable"
"1623","Crvena Vespa - duks crni","taxable"
"1630","Golf 2 - majica bela","taxable"
"1631","Golf 2 - ženska majica bela","taxable"
"1632","Golf 2 - duks beli","taxable"
"1633","Golf 2 - majica crna","taxable"
"1634","Golf 2 - ženska majica crna","taxable"
"1635","Golf 2 - duks crni","taxable"
"1642","Golf 2 (sa palmama) - majica bela","taxable"
"1643","Golf 2 (sa palmama) - ženska majica bela","taxable"
"1644","Golf 2 (sa palmama) - duks beli","taxable"
"1645","Golf 2 (sa palmama) - majica crna","taxable"
"1646","Golf 2 (sa palmama) - ženska majica crna","taxable"
"1647","Golf 2 (sa palmama) - duks crni","taxable"
"1654","On the road - majica bela","taxable"
"1655","On the road - ženska majica bela","taxable"
"1656","On the road - duks beli","taxable"
"1657","On the road - majica crna","taxable"
"1658","On the road - ženska majica crna","taxable"
"1659","On the road - duks crni","taxable"
"1666","Vespa Italija - majica bela","taxable"
"1667","Vespa Italija - ženska majica bela","taxable"
"1668","Vespa Italija - duks beli","taxable"
"1669","Vespa Italija - majica crna","taxable"
"1670","Vespa Italija - ženska majica crna","taxable"
"1671","Vespa Italija - duks crni","taxable"
"1678","Yugo - majica bela","taxable"
"1679","Yugo - ženska majica bela","taxable"
"1680","Yugo - duks beli","taxable"
"1681","Yugo - majica crna","taxable"
"1682","Yugo - ženska majica crna","taxable"
"1683","Yugo - duks crni","taxable"
"1690","Yugo (sa natpisom) - majica bela","taxable"
"1691","Yugo (sa natpisom) - ženska majica bela","taxable"
"1692","Yugo (sa natpisom) - duks beli","taxable"
"1693","Yugo (sa natpisom) - majica crna","taxable"
